area,num_bath_rooms,num_bed_rooms,price,locality,relaxation_amenity_count,security_amenity_count,maintenance_or_cleaning_amenity_count,social_amenity_count,expendable_amenity_count,service_staff_amenity_count,unclassify_amenity_count,price_per_sqft
1499,3,3,11300000,35,5,2,2,1,4,3,4,7538.358906
850,2,2,5200000,118,1,2,2,3,2,1,4,6117.647059
1650,3,3,18500000,178,1,1,1,1,1,3,3,11212.12121
1164,3,3,9600000,118,1,2,1,1,2,3,4,8247.42268
1517,4,3,11500000,178,1,2,3,1,3,3,4,7580.751483
1700,4,4,13200000,122,1,1,2,1,5,2,3,7764.705882
2185,3,4,20000000,15,1,1,1,2,3,3,4,9153.318078
1055,3,3,7000000,145,4,1,2,1,4,1,2,6635.07109
850,2,2,4500000,122,1,1,2,1,4,3,4,5294.117647
1499,3,3,11300000,35,1,2,2,1,3,2,4,7538.358906
750,2,2,3200000,118,3,1,2,1,2,3,3,4266.666667
1400,3,3,8200000,122,1,1,2,1,2,3,3,5857.142857
2000,4,4,15500000,15,1,1,2,1,2,2,3,7750
1543,4,3,11600000,35,1,2,2,1,4,3,4,7517.822424
1499,3,3,11300000,35,1,2,2,3,4,3,4,7538.358906
1496,3,3,11300000,35,5,2,2,2,4,3,4,7553.475936
1430,3,3,11500000,118,4,2,2,1,2,1,4,8041.958042
800,2,2,3800000,122,1,1,2,1,3,1,3,4750
1720,3,3,13700000,118,1,2,2,1,2,2,4,7965.116279
1630,3,3,13000000,118,1,2,2,1,2,3,4,7975.460123
650,2,2,4000000,17,1,1,1,1,1,3,3,6153.846154
1350,3,3,7200000,118,1,1,1,3,3,2,4,5333.333333
1200,2,3,9000000,61,1,2,2,1,2,3,3,7500
1633,3,3,11200000,35,1,2,2,1,3,3,4,6858.54256
1310,3,3,7900000,20,2,3,2,2,2,2,3,6030.534351
1633,3,3,11200000,35,1,2,2,2,3,3,4,6858.54256
1580,3,3,12600000,118,2,2,2,1,2,1,4,7974.683544
1586,3,3,11000000,35,2,2,2,2,3,3,4,6935.687264
1483,3,3,13500000,170,1,2,3,4,6,3,12,9103.169252
1586,3,3,11000000,35,1,2,2,2,3,2,4,6935.687264
1000,2,3,6000000,118,1,2,2,1,2,2,3,6000
950,2,3,5000000,118,4,2,3,1,1,1,3,5263.157895
1182,3,3,8250000,31,5,2,2,4,6,2,10,6979.695431
930,3,3,5800000,118,1,1,1,1,1,2,3,6236.55914
1350,3,3,11000000,118,1,2,2,2,2,3,4,8148.148148
930,3,3,5800000,118,1,1,3,1,1,1,3,6236.55914
2100,5,4,25000000,37,1,2,3,1,4,2,5,11904.7619
1150,2,3,7000000,118,5,1,3,1,3,3,3,6086.956522
1075,2,3,8700000,92,5,1,1,1,6,3,3,8093.023256
1410,3,3,12000000,101,1,1,1,1,2,2,4,8510.638298
1350,3,3,9500000,14,1,1,2,1,4,2,4,7037.037037
1595,3,3,10500000,14,1,1,1,1,4,3,4,6583.0721
1543,3,3,11600000,35,5,2,2,1,4,2,4,7517.822424
1550,3,3,11700000,145,1,2,2,1,3,3,4,7548.387097
950,2,3,5800000,118,1,1,2,1,2,2,3,6105.263158
2400,3,3,20000000,15,1,1,2,1,2,3,3,8333.333333
2400,4,3,23000000,37,1,1,2,2,3,3,3,9583.333333
1200,3,3,7300000,25,1,2,2,1,5,2,3,6083.333333
1200,3,3,8800000,118,1,2,3,1,3,1,5,7333.333333
1666,3,3,13500000,37,1,1,2,2,3,2,3,8103.241297
1536,4,4,12500000,145,3,2,2,1,4,1,4,8138.020833
1270,3,3,10000000,178,1,2,3,1,3,3,4,7874.015748
1800,3,4,12600000,25,1,1,2,2,3,3,4,7000
2700,4,4,26500000,37,1,1,2,1,3,3,3,9814.814815
1300,3,3,11000000,178,1,2,3,3,3,1,4,8461.538462
2265,3,4,25000000,37,1,1,2,1,3,3,3,11037.52759
2100,3,3,10500000,118,1,1,2,1,2,2,4,5000
1565,3,3,11000000,118,4,2,2,1,2,2,4,7028.753994
1620,3,3,12000000,15,1,1,2,1,2,1,3,7407.407407
1420,4,3,7500000,174,1,2,3,1,3,2,3,5281.690141
1654,3,3,9500000,178,2,1,1,3,1,1,3,5743.651753
1506,3,3,11500000,15,1,2,2,2,2,3,3,7636.122178
2250,4,4,22000000,37,1,1,2,1,3,1,3,9777.777778
950,2,2,5200000,118,1,2,2,1,2,3,3,5473.684211
1250,3,3,12000000,31,5,2,3,5,6,3,12,9600
1000,2,3,6000000,118,2,1,2,2,2,3,3,6000
1668,3,4,8700000,35,4,1,2,2,1,1,4,5215.827338
1402,2,3,7500000,20,1,1,3,1,4,2,3,5349.500713
1500,3,3,7800000,118,1,2,1,1,5,3,3,5200
850,2,2,5200000,118,1,2,2,1,2,3,4,6117.647059
1820,3,3,20000000,98,1,1,2,2,4,3,3,10989.01099
7150,8,7,32000000,118,1,1,2,1,1,2,3,4475.524476
1352,3,3,12500000,20,1,1,3,3,4,2,4,9245.56213
1350,3,3,12800000,124,1,2,2,1,2,3,3,9481.481481
1600,3,3,9500000,118,5,2,2,1,2,1,4,5937.5
850,2,2,5200000,118,1,2,2,1,2,1,4,6117.647059
1088,3,3,11500000,116,4,2,2,1,4,1,3,10569.85294
2500,4,5,21500000,100,1,1,1,1,4,2,3,8600
1620,4,4,9500000,28,4,1,2,1,1,3,3,5864.197531
1365,3,3,7500000,174,1,1,2,2,2,3,4,5494.505495
1450,3,3,7000000,163,1,1,2,2,1,3,3,4827.586207
1140,3,3,7500000,118,2,2,2,2,2,3,4,6578.947368
2024,3,3,19000000,178,1,1,2,1,5,3,3,9387.351779
2004,3,3,19000000,178,1,1,2,2,5,1,3,9481.037924
2400,3,3,16000000,118,2,2,2,3,3,1,5,6666.666667
1450,3,3,9500000,178,1,2,3,2,3,3,4,6551.724138
800,2,2,4500000,163,1,1,1,1,1,3,3,5625
1200,3,3,7500000,118,1,2,2,1,2,2,3,6250
1175,3,3,7350000,118,1,1,2,2,2,2,3,6255.319149
1140,3,3,7500000,118,1,2,2,1,2,2,4,6578.947368
1265,3,3,7890000,118,1,1,2,1,2,3,3,6237.15415
1450,3,3,11500000,25,1,1,3,1,4,3,3,7931.034483
800,2,2,4000000,60,4,1,2,1,2,3,3,5000
1531,3,3,18500000,122,1,1,2,1,5,3,3,12083.60549
1489,4,3,15000000,178,1,1,2,1,3,3,4,10073.87508
1900,3,4,16500000,25,1,1,1,1,3,2,3,8684.210526
850,3,2,3835000,60,1,3,2,1,1,2,3,4511.764706
700,2,2,4500000,60,1,1,2,1,2,3,3,6428.571429
1700,3,3,13500000,178,1,1,1,1,3,3,4,7941.176471
1315,3,3,10500000,166,4,1,1,1,4,2,3,7984.790875
900,3,2,6000000,60,1,1,2,1,2,3,3,6666.666667
1720,4,3,14500000,37,1,2,2,1,2,3,4,8430.232558
1000,3,3,6000000,60,1,1,2,1,2,3,3,6000
1352,3,3,10000000,61,1,2,1,1,4,3,4,7396.449704
2075,3,3,25000000,37,1,2,3,1,4,1,5,12048.19277
1180,3,3,7000000,25,1,2,2,1,5,3,3,5932.20339
1830,3,3,13500000,15,1,2,3,1,4,3,3,7377.04918
1210,3,3,8500000,35,1,1,3,1,4,3,4,7024.793388
1440,3,3,6200000,35,1,1,1,2,4,3,4,4305.555556
2000,5,3,16500000,15,2,1,2,3,1,1,4,8250
2300,4,5,21000000,25,1,2,2,2,4,2,3,9130.434783
1250,3,3,7800000,25,4,1,1,1,3,2,4,6240
1200,3,3,8500000,15,1,1,2,3,2,2,3,7083.333333
1030,3,3,7200000,114,1,1,2,1,5,2,3,6990.291262
1538,4,3,9900000,20,1,1,2,1,4,1,4,6436.931079
1184,3,3,8700000,20,1,1,3,1,4,3,4,7347.972973
1420,3,3,10600000,20,1,1,3,1,4,3,4,7464.788732
1710,3,3,13800000,116,1,2,2,1,3,1,4,8070.175439
1184,3,3,8700000,20,1,1,3,2,4,2,4,7347.972973
2015,3,3,19500000,61,5,1,1,1,4,1,4,9677.419355
1475,3,3,10800000,14,1,1,1,1,4,3,4,7322.033898
1145,2,3,6500000,127,1,1,2,2,4,1,4,5676.855895
1140,3,3,7500000,118,1,2,2,1,2,2,4,6578.947368
1275,3,3,10600000,25,1,1,3,1,4,3,3,8313.72549
850,2,3,5000000,20,1,1,2,1,1,3,3,5882.352941
1847,4,3,15500000,114,1,2,1,1,4,1,4,8391.987006
1100,3,3,6200000,118,1,1,2,1,3,1,3,5636.363636
4456,7,6,51200000,124,2,2,2,1,2,3,2,11490.12567
1266,3,3,6695000,63,5,1,1,2,1,3,4,5288.309637
1000,3,2,6700000,20,1,1,1,1,2,3,3,6700
850,3,2,3835000,60,1,1,2,2,1,1,3,4511.764706
950,2,2,5000000,14,1,1,2,3,1,3,4,5263.157895
1450,4,4,8200000,35,1,1,2,2,2,2,3,5655.172414
2000,5,3,15000000,15,5,1,2,3,1,3,4,7500
1500,3,2,12000000,106,1,1,2,1,2,3,3,8000
1750,3,3,13000000,116,1,2,2,1,3,3,4,7428.571429
1988,2,2,13000000,122,1,1,3,1,2,1,3,6539.235412
1200,3,3,4500000,77,1,1,2,1,2,3,4,3750
1600,4,3,14500000,37,1,1,1,1,3,2,3,9062.5
1100,3,3,5300000,20,1,1,2,1,4,3,3,4818.181818
2000,5,3,15000000,15,1,2,2,1,1,1,4,7500
1500,3,3,5600000,77,1,1,2,1,2,2,4,3733.333333
1520,3,3,16000000,2,1,2,3,1,1,2,5,10526.31579
3322,5,4,40000000,22,1,2,2,1,3,3,2,12040.93919
1228,2,3,9800000,116,1,2,2,1,3,2,4,7980.456026
1600,4,3,13500000,37,1,1,2,1,3,3,3,8437.5
1395,3,3,11500000,25,1,2,3,1,4,1,3,8243.727599
2050,3,3,8200000,35,1,1,2,1,2,3,3,4000
1320,3,3,10500000,124,1,1,3,1,4,2,4,7954.545455
1450,3,3,9500000,118,1,1,2,1,1,3,3,6551.724138
1100,2,3,8050000,114,1,2,2,3,5,3,3,7318.181818
1263,3,3,7800000,20,1,1,1,1,2,3,2,6175.771971
1865,4,4,21500000,159,1,2,1,2,3,1,4,11528.15013
1090,2,3,8000000,153,1,1,2,1,1,2,3,7339.449541
1650,4,3,13200000,114,1,2,2,1,4,1,3,8000
1150,3,3,7700000,116,1,1,1,2,2,3,3,6695.652174
1194,3,3,8800000,20,1,1,3,1,4,2,4,7370.184255
2000,5,3,16500000,15,1,2,2,1,1,1,4,8250
1342,3,3,7200000,20,5,2,3,2,4,2,3,5365.126677
950,3,3,4500000,58,2,2,3,1,2,3,3,4736.842105
1850,4,4,17500000,37,1,1,2,2,3,1,3,9459.459459
3400,6,6,23500000,178,1,1,2,2,3,2,4,6911.764706
1560,4,4,11200000,116,1,1,2,3,3,1,4,7179.487179
1100,3,3,5300000,20,3,1,2,1,4,2,3,4818.181818
1150,3,3,6800000,118,1,2,2,2,2,3,4,5913.043478
2282,3,4,22000000,37,1,2,2,2,3,1,5,9640.666082
1300,3,3,9500000,118,1,1,1,1,4,1,5,7307.692308
700,2,2,3800000,14,1,2,2,2,1,3,4,5428.571429
950,2,2,5000000,58,1,2,1,1,2,3,3,5263.157895
1517,4,3,12500000,178,2,2,3,1,3,3,4,8239.947264
1050,2,3,5400000,58,1,1,1,1,1,2,3,5142.857143
1170,2,2,10500000,159,1,1,2,1,4,1,3,8974.358974
1800,3,3,19000000,37,1,1,1,2,3,2,3,10555.55556
1460,3,3,13000000,133,1,2,2,1,4,2,4,8904.109589
950,2,3,6000000,116,1,2,2,1,3,3,4,6315.789474
1170,2,2,10500000,159,1,2,2,1,4,3,3,8974.358974
950,2,3,5200000,118,1,2,1,1,2,2,4,5473.684211
1100,3,3,6500000,101,1,1,2,1,2,2,3,5909.090909
1150,2,3,6500000,118,1,2,2,1,2,1,4,5652.173913
700,2,2,4700000,122,1,3,2,1,3,3,4,6714.285714
850,2,3,5500000,118,1,1,2,1,3,2,3,6470.588235
830,2,2,4200000,118,1,1,2,1,5,3,4,5060.240964
1370,3,3,11000000,118,1,1,1,1,2,3,4,8029.19708
1600,3,3,14500000,37,1,1,2,1,2,1,3,9062.5
1212,3,3,7000000,177,1,1,2,1,1,2,3,5775.577558
1100,3,3,6500000,101,1,3,2,1,2,3,3,5909.090909
2200,5,5,21000000,118,1,2,3,2,3,3,4,9545.454545
820,2,2,5000000,118,1,2,2,2,2,3,4,6097.560976
1050,3,3,4600000,58,1,2,3,1,2,3,4,4380.952381
1290,3,3,6000000,60,1,1,2,1,2,3,3,4651.162791
1290,3,3,6000000,60,4,1,2,1,2,3,3,4651.162791
1300,3,3,6550000,122,4,1,1,2,4,1,4,5038.461538
2025,3,3,23000000,37,1,2,3,1,4,1,4,11358.02469
1650,3,3,8125000,122,1,1,1,3,4,3,4,4924.242424
1020,3,3,5290000,122,4,1,1,1,4,2,4,5186.27451
1650,3,3,8125000,122,1,1,1,2,4,2,4,4924.242424
800,2,2,4800000,20,1,1,2,1,4,3,4,6000
950,2,2,5500000,58,1,2,1,1,2,3,3,5789.473684
1050,2,3,5600000,58,1,2,1,1,2,2,3,5333.333333
2150,4,4,17500000,37,1,1,2,1,3,3,3,8139.534884
1100,2,3,6800000,15,3,1,2,2,3,3,4,6181.818182
3650,5,5,35000000,37,1,2,3,2,4,1,5,9589.041096
970,2,2,4000000,101,1,1,1,1,3,3,1,4123.71134
1980,3,3,7000000,41,1,1,1,1,1,3,3,3535.353535
1520,3,3,16000000,2,4,2,3,1,3,2,5,10526.31579
1465,3,3,11000000,114,1,1,3,1,4,2,3,7508.532423
2150,4,4,17500000,37,1,1,2,1,2,2,3,8139.534884
2200,3,4,23000000,118,4,2,3,1,3,3,3,10454.54545
1200,2,2,9000000,118,1,2,2,1,2,3,4,7500
1080,3,3,5560000,122,1,1,1,1,4,3,4,5148.148148
2150,4,4,17500000,37,2,1,2,1,2,3,3,8139.534884
1650,3,3,13500000,37,1,1,2,1,3,3,3,8181.818182
1215,3,3,11000000,37,2,1,2,1,3,2,3,9053.497942
2150,4,4,17500000,37,1,1,2,2,3,1,3,8139.534884
850,2,2,6000000,118,4,2,3,1,2,1,4,7058.823529
1200,3,3,9000000,120,4,2,2,5,5,3,12,7500
900,2,2,5500000,101,2,1,3,1,1,3,2,6111.111111
1230,2,2,5000000,118,1,1,2,1,3,3,4,4065.04065
1245,3,3,7100000,145,1,2,1,1,3,3,3,5702.811245
1175,2,3,7800000,15,1,1,1,2,3,3,4,6638.297872
900,2,2,5000000,118,1,1,2,1,2,3,3,5555.555556
1650,4,4,13000000,118,2,1,1,1,3,3,4,7878.787879
1650,3,3,16000000,37,1,1,2,1,2,1,3,9696.969697
950,2,3,6800000,14,1,1,2,2,3,1,4,7157.894737
1400,3,3,9500000,118,1,1,1,1,4,3,3,6785.714286
1350,3,3,7200000,118,1,1,1,1,5,3,3,5333.333333
1250,3,3,12000000,61,1,1,1,1,4,1,3,9600
1200,2,2,8500000,118,1,1,1,1,3,3,3,7083.333333
1213,2,3,8800000,178,1,1,3,2,2,3,3,7254.740313
1485,3,3,13200000,122,1,1,1,1,4,2,4,8888.888889
2350,3,3,19000000,37,1,1,2,2,3,2,3,8085.106383
1584,3,3,11500000,20,1,1,2,2,2,3,3,7260.10101
1337,3,3,8100000,118,1,3,2,1,3,3,3,6058.339566
2230,3,4,21800000,37,1,2,3,1,4,3,5,9775.784753
1337,3,3,8100000,118,1,2,2,1,1,3,3,6058.339566
1500,3,3,8800000,20,2,1,2,1,4,2,3,5866.666667
1650,4,4,12500000,118,1,1,1,2,3,1,4,7575.757576
1650,4,4,13000000,118,1,1,1,2,3,3,4,7878.787879
2245,4,4,25000000,37,1,1,2,1,3,1,3,11135.85746
1650,4,4,13000000,118,1,1,1,2,3,3,4,7878.787879
1650,4,4,13000000,118,1,1,1,1,3,2,4,7878.787879
1872,3,3,18000000,118,1,2,2,1,3,3,5,9615.384615
900,2,3,4300000,20,4,1,2,1,4,2,3,4777.777778
1043,2,3,7800000,79,1,2,2,1,3,2,4,7478.427613
1280,3,3,10000000,37,1,1,2,2,3,2,3,7812.5
1360,3,3,8460000,17,1,2,2,1,2,3,4,6220.588235
1150,3,3,6700000,47,1,1,1,1,2,3,3,5826.086957
625,2,2,3200000,118,1,1,1,2,1,3,3,5120
1150,3,3,6700000,47,1,2,2,1,2,3,3,5826.086957
980,2,2,4200000,63,1,1,2,1,2,3,3,4285.714286
1360,3,3,8400000,17,2,2,2,1,2,3,4,6176.470588
1150,3,3,6700000,47,1,2,3,1,2,1,3,5826.086957
1350,3,3,7600000,118,1,4,1,3,5,2,3,5629.62963
1073,2,3,7800000,118,1,1,2,1,3,3,4,7269.338304
840,2,2,4800000,14,1,2,2,1,4,2,4,5714.285714
1108,2,3,8500000,116,1,2,2,1,3,3,4,7671.480144
1535,3,3,6800000,118,1,2,2,1,4,1,4,4429.967427
860,2,2,4900000,118,1,2,3,1,3,2,4,5697.674419
2400,4,3,18000000,90,1,1,2,2,2,3,4,7500
1400,3,3,11800000,37,1,2,2,1,5,2,4,8428.571429
950,2,3,6000000,118,1,2,3,1,3,1,4,6315.789474
900,2,3,4000000,20,4,1,2,1,4,1,3,4444.444444
1050,2,3,6200000,118,1,2,1,1,4,3,3,5904.761905
2150,3,3,17500000,118,1,2,3,1,3,2,4,8139.534884
1415,3,3,8100000,118,1,2,2,1,3,3,3,5724.381625
1314,3,3,7800000,20,1,1,2,1,4,3,3,5936.073059
1325,3,3,8500000,118,1,2,3,5,3,3,4,6415.09434
860,2,2,4900000,118,1,2,3,1,3,1,4,5697.674419
2167,4,4,24500000,37,3,2,2,2,5,3,4,11305.95293
860,2,2,4900000,118,2,2,3,1,3,2,4,5697.674419
950,2,2,5400000,80,2,1,1,1,2,3,3,5684.210526
860,2,2,4500000,118,1,2,3,1,3,3,4,5232.55814
1550,3,3,12000000,37,1,2,1,1,3,3,3,7741.935484
1171,2,3,7500000,120,1,1,2,1,4,1,3,6404.782237
1175,2,3,6000000,118,5,1,2,1,2,3,3,5106.382979
1415,3,3,9100000,118,1,2,2,2,3,3,3,6431.095406
1590,3,3,11800000,37,1,2,2,2,5,2,4,7421.383648
1000,3,3,5500000,118,4,3,2,1,2,1,3,5500
1100,2,3,6500000,15,2,1,2,1,3,3,4,5909.090909
1400,4,4,5880000,41,1,1,2,1,1,3,3,4200
2130,4,3,19500000,122,1,1,3,1,4,3,4,9154.929577
1050,2,3,6400000,15,1,1,1,1,3,2,4,6095.238095
2912,4,3,35000000,37,1,1,2,2,4,3,4,12019.23077
1260,2,4,7000000,118,1,1,3,1,1,2,4,5555.555556
1000,2,3,6200000,166,5,1,2,1,4,2,3,6200
1180,2,3,6200000,118,1,2,3,1,3,1,4,5254.237288
755,2,2,5500000,120,1,2,2,2,4,1,3,7284.768212
1450,3,3,7000000,118,1,2,2,2,2,3,3,4827.586207
1103,2,3,6200000,118,1,1,3,1,3,2,3,5621.033545
3355,4,4,39000000,178,1,1,2,2,5,3,3,11624.44113
1080,2,3,5300000,80,3,2,3,1,2,2,4,4907.407407
1550,3,3,12000000,37,3,1,1,2,2,2,3,7741.935484
1517,4,3,10200000,178,1,2,3,1,3,3,4,6723.796968
1150,2,3,5750000,118,4,1,2,1,4,2,3,5000
1150,2,3,5750000,118,1,1,2,2,5,3,3,5000
1550,3,3,13500000,37,1,3,3,1,4,2,3,8709.677419
1200,3,3,6000000,58,1,2,3,4,2,2,3,5000
1150,2,3,5750000,118,2,1,2,5,5,2,3,5000
1150,2,3,6002000,118,1,2,2,1,5,2,3,5219.130435
1150,3,3,6500000,111,2,2,1,1,1,3,3,5652.173913
1015,2,3,6300000,25,1,2,2,2,5,2,3,6206.896552
1800,4,3,12000000,2,1,2,3,2,2,1,5,6666.666667
2525,3,3,23000000,14,3,1,2,1,3,3,4,9108.910891
1875,3,3,16000000,37,1,2,2,2,2,2,3,8533.333333
1650,3,3,16000000,37,1,2,1,1,2,2,3,9696.969697
2201,3,4,15000000,25,1,1,2,1,3,2,4,6815.084053
1555,3,3,14000000,37,4,1,1,1,2,2,3,9003.215434
1000,2,3,4000000,118,1,1,2,1,5,3,3,4000
1472,3,3,16200000,4,1,1,1,2,2,3,3,11005.43478
850,2,2,7500000,61,1,2,2,1,3,3,4,8823.529412
1350,3,3,7400000,118,1,1,1,3,3,2,3,5481.481481
1350,3,3,7400000,118,1,1,1,1,3,2,3,5481.481481
2200,3,3,23500000,118,1,2,3,1,3,2,3,10681.81818
1073,2,3,7900000,118,1,1,2,1,3,3,4,7362.534949
1320,3,3,7000000,118,1,1,2,1,3,3,3,5303.030303
1140,3,3,6600000,47,1,2,2,1,4,3,4,5789.473684
1400,3,3,7000000,166,1,2,2,1,3,3,4,5000
1320,3,3,7000000,118,2,1,2,1,3,3,3,5303.030303
896,2,2,4000000,176,1,1,3,1,4,3,3,4464.285714
1690,3,3,14800000,114,1,1,2,1,5,3,3,8757.39645
1350,3,3,9170000,118,1,2,2,1,3,1,3,6792.592593
1650,4,4,13000000,118,1,1,2,1,3,2,3,7878.787879
1350,3,3,7400000,118,4,1,1,1,3,3,3,5481.481481
1020,2,2,6200000,25,1,2,2,3,5,3,3,6078.431373
810,2,2,3800000,118,1,1,1,1,1,2,3,4691.358025
900,2,2,5000000,118,1,1,2,1,2,3,4,5555.555556
1375,3,3,12100000,118,1,2,2,1,5,1,3,8800
1160,3,3,7000000,122,1,1,1,1,1,1,3,6034.482759
1150,2,3,5675000,118,1,2,2,1,2,3,4,4934.782609
1200,3,3,8000000,25,1,1,1,1,2,1,3,6666.666667
1340,3,3,6200000,58,1,2,3,1,4,3,3,4626.865672
950,2,2,4300000,118,1,1,2,1,1,3,3,4526.315789
1480,3,3,9950000,14,1,1,2,3,3,2,4,6722.972973
1660,3,3,7500000,118,2,1,2,1,3,3,3,4518.072289
800,2,2,4200000,118,4,2,2,2,1,2,3,5250
1100,2,3,5200000,118,1,2,2,1,5,3,3,4727.272727
1220,3,3,6700000,118,1,2,3,1,2,2,4,5491.803279
1335,3,3,10500000,118,1,1,1,2,3,3,3,7865.168539
1150,3,3,5600000,122,1,2,1,1,1,2,3,4869.565217
1100,2,3,7072000,109,1,1,2,1,1,4,3,6429.090909
1232,3,3,6760000,118,1,2,2,1,5,1,3,5487.012987
1340,4,3,11500000,159,1,2,1,2,2,3,3,8582.089552
1550,3,3,8700000,104,1,1,2,2,1,2,3,5612.903226
1320,3,3,7000000,118,1,3,2,1,3,4,3,5303.030303
1320,3,3,7000000,118,1,1,2,1,3,3,3,5303.030303
1306,2,4,5500000,150,1,1,2,1,5,2,3,4211.332312
1100,3,3,6120000,178,1,1,1,1,1,1,3,5563.636364
1550,3,3,12000000,37,1,1,1,3,2,1,3,7741.935484
800,2,2,3800000,58,5,1,3,1,3,1,3,4750
1140,3,3,7400000,118,1,2,3,1,3,2,4,6491.22807
1180,3,3,7700000,118,1,2,3,1,3,3,4,6525.423729
1450,3,3,12100000,118,1,2,2,1,6,1,3,8344.827586
1140,3,3,7400000,118,3,2,3,1,3,3,4,6491.22807
1300,3,3,9200000,118,1,1,1,2,3,3,3,7076.923077
1250,3,3,7500000,118,1,2,2,2,2,3,4,6000
1250,3,3,7500000,118,1,2,2,1,2,2,4,6000
1250,3,3,7500000,118,1,2,2,1,2,3,4,6000
1230,3,3,7400000,118,1,2,2,1,2,1,4,6016.260163
1230,3,3,7400000,118,1,2,2,1,2,3,4,6016.260163
1230,3,3,7400000,118,1,2,2,1,2,3,4,6016.260163
1300,3,3,7500000,47,1,1,1,1,3,3,3,5769.230769
1230,3,3,7400000,118,1,2,2,1,2,3,4,6016.260163
1230,3,3,7400000,118,1,2,2,1,2,1,4,6016.260163
1650,3,4,8200000,13,1,2,2,2,5,2,4,4969.69697
1200,3,3,6000000,118,1,2,2,1,2,3,3,5000
1700,3,4,14000000,20,1,1,2,2,2,2,4,8235.294118
650,2,2,3000000,118,1,1,2,1,1,2,3,4615.384615
1100,2,3,5500000,118,1,1,2,1,5,3,3,5000
800,2,2,4000000,58,1,2,3,1,3,1,3,5000
1350,3,3,6000000,41,1,2,1,1,2,2,3,4444.444444
1134,3,3,4900000,176,5,1,3,2,4,3,3,4320.987654
1450,3,3,10000000,37,1,1,2,1,3,2,3,6896.551724
2500,5,4,14000000,58,1,1,3,1,2,2,4,5600
815,2,2,3800000,118,1,1,1,2,1,1,3,4662.576687
1150,2,3,5040000,118,1,2,1,1,4,3,3,4382.608696
2150,3,3,17500000,118,1,2,3,1,3,2,4,8139.534884
2150,3,3,17500000,118,1,2,3,1,3,3,4,8139.534884
1700,4,3,14000000,178,1,2,1,1,3,3,3,8235.294118
800,2,3,4700000,118,5,1,2,2,1,2,4,5875
1400,3,3,11000000,178,1,1,2,4,3,3,3,7857.142857
800,2,3,4700000,118,4,3,2,1,1,3,4,5875
1000,2,3,6200000,166,1,1,2,1,4,3,3,6200
10000,10,19,85000000,61,1,1,1,1,1,3,2,8500
1150,3,3,6500000,2,1,2,3,1,3,2,5,5652.173913
920,2,3,4500000,118,1,1,1,2,1,3,3,4891.304348
2750,5,4,23000000,92,1,1,1,1,4,3,3,8363.636364
920,2,3,4500000,118,1,1,1,1,1,3,3,4891.304348
920,2,3,4500000,118,1,1,1,1,1,3,3,4891.304348
1164,3,3,7200000,82,1,1,3,1,3,1,4,6185.56701
950,2,3,5300000,118,1,1,1,2,1,3,3,5578.947368
1015,2,3,5400000,118,1,2,2,1,2,3,4,5320.197044
1100,3,3,8800000,170,1,1,1,1,2,3,3,8000
