City,Province,Latitude,Longitude,Price,Bedrooms,Bathrooms,Acreage,Property Type,Square Footage,Garage,Parking,Basement,Exterior,Fireplace,Heating,Flooring,Roof,Waterfront,Sewer,Pool,Garden,Balcony
Vancouver,BC,49.2213371,-123.1497884,1888000.0,4.0,4.0,0.0,Townhome,1419.0,No,No,,,No,radiant,,,No,none,No,No,No
Coquitlam,BC,49.2511197,-122.8874908,5200000.0,2.0,2.0,0.2,Single Family,2595.0,Yes,Yes,,,Yes,forced air,,,No,none,No,No,No
Vancouver,BC,49.250344,-123.0542378,1898000.0,5.0,2.0,0.09,Single Family,1853.0,No,No,,,No,,,,No,none,No,No,No
Vancouver,BC,49.2907836,-123.1297778,1249900.0,2.0,1.0,0.0,Condo,725.0,Yes,Yes,,,No,forced air,,,No,none,No,No,No
Burnaby,BC,49.2145216,-122.9473339,799000.0,2.0,2.0,0.0,Condo,800.0,Yes,Yes,,,No,radiant,,,No,none,No,No,No
Surrey,BC,49.1990176,-122.8198353,2888000.0,9.0,7.0,0.19,Single Family,4137.0,Yes,Yes,,,Yes,forced air,,,No,none,No,No,No
Surrey,BC,49.1957108,-122.8563207,419999.0,1.0,1.0,0.0,Condo,426.0,Yes,Yes,,,No,radiant,,,No,none,No,No,No
Burnaby,BC,49.2513283,-122.9386106,3698000.0,4.0,3.0,0.37,Single Family,2852.0,Yes,No,,,Yes,forced air,,,No,none,No,No,No
Vancouver,BC,49.2437368,-123.1450556,5680000.0,6.0,8.0,0.23,Single Family,6578.0,No,No,,,Yes,radiant,,,No,none,No,No,No
Vancouver,BC,49.2622329,-123.0370526,4000000.0,7.0,2.0,0.11,Single Family,2698.0,Yes,Yes,,,No,forced air,,,No,none,No,No,No
Burnaby,BC,49.2632634,-122.99861,818000.0,2.0,2.0,0.0,Condo,797.0,No,Yes,,,No,heat pump,,,No,none,No,No,No
Burnaby,BC,49.2809397,-123.0070017,898000.0,1.0,2.0,0.0,Condo,839.0,Yes,No,,,No,,,,No,none,No,No,No
Coquitlam,BC,49.2750545,-122.823063,5250000.0,4.0,3.0,0.17,Single Family,2360.0,Yes,Yes,,,Yes,,,,No,none,No,No,No
Burnaby,BC,49.2127248,-122.9727406,3232800.0,6.0,4.0,0.16,Single Family,2739.0,No,No,,,Yes,forced air,,,No,none,No,No,No
Burnaby,BC,49.2259499,-123.0057445,858000.0,2.0,2.0,0.0,Condo,886.0,Yes,Yes,,,No,radiant,,,No,none,No,No,No
Burnaby,BC,49.2362095,-123.0214471,3150000.0,3.0,3.0,0.13,Single Family,2167.0,Yes,Yes,,,Yes,forced air,,,No,none,No,No,No
Vancouver,BC,49.2339718,-123.1201381,1236000.0,2.0,2.0,0.0,Condo,948.0,Yes,Yes,,,No,heat pump,,,No,none,No,No,No
Vancouver,BC,49.2762229,-123.1310844,2999000.0,3.0,2.0,0.0,Condo,1244.0,Yes,Yes,,,No,forced air,,,No,none,No,No,No
Vancouver,BC,49.2929534,-123.1320074,7000000.0,4.0,4.0,0.0,Condo,3046.0,Yes,Yes,,,Yes,forced air,,,No,none,No,No,No
Surrey,BC,49.1901283,-122.8524915,388800.0,0.0,1.0,0.0,Condo,315.0,Yes,Yes,,,No,radiant,,,No,none,No,No,No
Vancouver,BC,49.2207872,-123.14121,968800.0,2.0,2.0,0.0,Condo/Townhome,766.0,Yes,Yes,,,No,forced air,,,No,none,No,No,No
Burnaby,BC,49.2252572,-122.9448835,1998888.0,4.0,4.0,0.17,Duplex,1844.0,Yes,Yes,,,Yes,boiler,,,No,none,No,No,No
Surrey,BC,49.1776082,-122.8351787,639000.0,2.0,1.0,0.0,Condo,673.0,Yes,Yes,,,No,radiant,,,No,none,No,No,No
Vancouver,BC,49.2561794,-123.1417698,7688000.0,5.0,5.0,0.37,Single Family,5055.0,No,No,,,Yes,boiler,,,No,none,No,No,No
Vancouver,BC,49.2797761,-123.1055799,845000.0,2.0,2.0,0.0,Condo,884.0,Yes,Yes,,,No,radiant,,,No,none,No,No,No
Coquitlam,BC,49.2751795,-122.8234904,4900000.0,3.0,3.0,0.16,Single Family,1944.0,Yes,Yes,,,Yes,,,,No,none,No,No,No
Coquitlam,BC,49.2753437,-122.8234829,4900000.0,4.0,3.0,0.16,Single Family,2305.0,Yes,Yes,,,Yes,,,,No,none,No,No,No
Coquitlam,BC,49.275495,-122.8234698,4900000.0,4.0,3.0,0.16,Single Family,2222.0,Yes,Yes,,,Yes,,,,No,none,No,No,No
Vancouver,BC,49.2184475,-123.0958689,1599000.0,5.0,4.0,0.09,Duplex,1387.0,Yes,No,,,Yes,radiant,,,No,none,No,No,No
Coquitlam,BC,49.2754572,-122.8230438,5125000.0,4.0,3.0,0.17,Single Family,2240.0,No,No,,,Yes,,,,No,none,No,No,No
Vancouver,BC,49.2859438,-123.1238552,19988000.0,4.0,6.0,0.0,Condo,7299.0,Yes,Yes,,,No,forced air,,,No,none,No,No,No
Richmond,BC,49.1718563,-123.1281413,545000.0,2.0,1.0,0.0,Condo,908.0,Yes,Yes,,,No,radiant,,,No,none,No,No,No
Coquitlam,BC,49.259945,-122.884934,3000000.0,8.0,4.0,0.18,Single Family,3524.0,No,Yes,,,No,,,,No,none,No,No,No
Vancouver,BC,49.2769244,-123.1232442,1649000.0,2.0,2.0,0.0,Condo,1028.0,Yes,Yes,,,No,forced air,,,No,none,No,No,No
Vancouver,BC,49.2477235,-123.1182223,4900000.0,5.0,5.0,0.17,Single Family,3864.0,Yes,Yes,,,Yes,boiler,,,No,none,No,No,No
Vancouver,BC,49.2495505,-123.128026,568900.0,1.0,1.0,0.0,Condo,663.0,Yes,Yes,,,Yes,,,,No,none,No,No,No
Surrey,BC,49.1827913,-122.8429414,559000.0,1.0,1.0,0.0,Condo,530.0,No,Yes,,,No,heat pump,,,No,none,No,No,No
Vancouver,BC,49.2227348,-123.1241668,4388000.0,7.0,4.0,0.19,Single Family,3491.0,Yes,No,,,Yes,forced air,,,No,none,No,No,No
Vancouver,BC,49.2279216,-123.1272503,3999000.0,6.0,4.0,0.17,Single Family,3300.0,Yes,No,,,Yes,,,,No,none,No,No,No
Burnaby,BC,49.21604,-122.981124,799000.0,2.0,2.0,0.0,Condo,895.0,Yes,Yes,,,No,radiant,,,No,none,No,No,No
Burnaby,BC,49.2256248,-123.0048434,1080000.0,2.0,2.0,0.0,Condo,853.0,Yes,Yes,,,No,heat pump,,,No,none,No,No,No
Richmond,BC,49.1737115,-123.148583,1298000.0,1.0,2.0,0.0,Condo,1462.0,Yes,Yes,,,No,,,,No,none,No,No,No
Vancouver,BC,49.2464073,-123.0261284,1920000.0,4.0,3.0,0.08,Single Family,2183.0,Yes,No,,,Yes,forced air,,,No,none,No,No,No
Burnaby,BC,49.2530801,-122.8945553,599000.0,1.0,1.0,0.0,Condo,723.0,Yes,Yes,,,Yes,radiant,,,No,none,No,No,No
Surrey,BC,49.1753125,-122.8495565,599900.0,1.0,2.0,0.0,Condo,850.0,Yes,Yes,,,No,,,,No,none,No,No,No
Vancouver,BC,49.2625879,-123.0652978,2999000.0,4.0,3.0,0.09,Single Family,2778.0,Yes,No,,,Yes,,,,No,none,No,No,No
Vancouver,BC,49.2261597,-123.054078,2599000.0,6.0,2.0,0.11,Single Family,2240.0,Yes,Yes,,,Yes,,,,No,none,No,No,No
Vancouver,BC,49.2658051,-123.103947,6999000.0,5.0,5.0,0.14,Single Family,8705.0,Yes,No,,,Yes,boiler,,,No,none,No,No,No
Vancouver,BC,49.2332444,-123.0433758,3500000.0,8.0,4.0,0.13,Single Family,3621.0,Yes,Yes,,,Yes,forced air,,,No,none,No,No,No
Vancouver,BC,49.2707257,-123.1037511,2048000.0,2.0,2.0,0.0,Condo,1203.0,No,Yes,,,No,radiant,,,No,none,No,No,No
Surrey,BC,49.1970901,-122.8371964,599000.0,2.0,2.0,0.0,Condo,875.0,No,Yes,,,Yes,,,,No,none,No,No,No
Vancouver,BC,49.2634613,-123.0713403,1475000.0,3.0,2.0,0.06,Single Family,1502.0,No,No,,,No,forced air,,,No,none,No,No,No
Richmond,BC,49.1761244,-123.1475521,4988888.0,4.0,5.0,0.0,Condo,2820.0,Yes,Yes,,,No,heat pump,,,No,none,No,No,No
Vancouver,BC,49.2481732,-123.1479308,7580000.0,6.0,8.0,0.18,Single Family,5468.0,Yes,No,,,Yes,radiant,,,No,none,No,No,No
Surrey,BC,49.1980429,-122.8706865,3900000.0,8.0,7.0,0.73,Single Family,6059.0,Yes,Yes,,,Yes,forced air,,,No,none,No,No,No
Vancouver,BC,49.277056,-123.128843,1190000.0,2.0,3.0,0.0,Townhome,1100.0,Yes,Yes,,,No,,,,No,none,No,No,No
Port Moody,BC,49.2950199,-122.8605766,4399000.0,3.0,3.0,0.09,Single Family,2761.0,Yes,Yes,,,Yes,heat pump,,,No,none,No,No,No
Surrey,BC,49.1924296,-122.850531,579000.0,1.0,1.0,0.0,Condo,678.0,Yes,No,,,No,radiant,,,No,none,No,No,No
Vancouver,BC,49.2375035,-123.1407593,10990000.0,8.0,8.0,0.37,Single Family,7520.0,Yes,No,,,Yes,radiant,,,No,none,No,No,No
Vancouver,BC,49.235952,-123.0378174,4000000.0,6.0,2.0,0.07,Single Family,2101.0,No,Yes,,,No,,,,No,none,No,No,No
Burnaby,BC,49.2231602,-122.9929446,1250000.0,3.0,2.0,0.0,Condo,927.0,Yes,Yes,,,No,alt heat,,,No,none,No,No,No
Vancouver,BC,49.2699242,-123.1041392,3300000.0,4.0,3.0,0.0,Condo,1590.0,Yes,Yes,,,No,heat pump,,,No,none,No,No,No
Vancouver,BC,49.2770552,-123.12504,739900.0,1.0,1.0,0.0,Condo,632.0,Yes,Yes,,,No,,,,No,none,No,No,No
Vancouver,BC,49.2113352,-123.1165317,563000.0,1.0,1.0,0.0,Condo,451.0,No,Yes,,,No,heat pump,,,No,none,No,No,No
Vancouver,BC,49.2357298,-123.0380401,4000000.0,9.0,4.0,0.07,Single Family,1852.0,Yes,No,,,Yes,,,,No,none,No,No,No
Vancouver,BC,49.2358729,-123.0378915,4100000.0,7.0,5.0,0.07,Single Family,2003.0,No,No,,,No,,,,No,none,No,No,No
Surrey,BC,49.191764,-122.8417626,699000.0,2.0,2.0,0.0,Condo,825.0,Yes,Yes,,,No,heat pump,,,No,none,No,No,No
Vancouver,BC,49.2301356,-123.0310181,1875000.0,7.0,4.0,0.1,Single Family,2528.0,Yes,Yes,,,Yes,forced air,,,No,none,No,No,No
Vancouver,BC,49.2691184,-123.0345236,3800000.0,5.0,3.0,0.12,Single Family,2359.0,Yes,Yes,,,Yes,forced air,,,No,none,No,No,No
Vancouver,BC,49.2691193,-123.0346942,3800000.0,5.0,3.0,0.12,Single Family,2385.0,Yes,Yes,,,Yes,forced air,,,No,none,No,No,No
Vancouver,BC,49.2569102,-123.0342489,2850000.0,4.0,2.0,0.09,Single Family,2229.0,Yes,Yes,,,Yes,forced air,,,No,none,No,No,No
Burnaby,BC,49.2245617,-123.0048299,899000.0,2.0,2.0,0.0,Condo,775.0,No,Yes,,,No,heat pump,,,No,none,No,No,No
Burnaby,BC,49.2332529,-123.0089651,698000.0,1.0,1.0,0.0,Condo,633.0,Yes,No,,,No,forced air,,,No,none,No,No,No
Vancouver,BC,49.26225,-123.042897,4000000.0,5.0,5.0,0.11,Single Family,3094.0,No,No,,,Yes,boiler,,,No,none,No,No,No
Vancouver,BC,49.2859438,-123.1238552,4780000.0,3.0,3.0,0.0,Condo,2387.0,Yes,Yes,,,Yes,radiant,,,No,none,No,No,No
New Westminster,BC,49.199375,-122.949499,3600000.0,3.0,2.0,0.12,Single Family,1746.0,No,No,,,No,radiant,,,No,none,No,No,No
Vancouver,BC,49.2361032,-123.0376678,4000000.0,4.0,2.0,0.07,Single Family,2008.0,No,No,,,No,forced air,,,No,none,No,No,No
Vancouver,BC,49.2360258,-123.0377447,4000000.0,3.0,2.0,0.07,Single Family,1778.0,No,No,,,No,,,,No,none,No,No,No
Vancouver,BC,49.2359666,-123.0373442,4000000.0,6.0,3.0,0.08,Single Family,1755.0,No,No,,,No,forced air,,,No,none,No,No,No
Vancouver,BC,49.2357991,-123.0379743,4100000.0,6.0,4.0,0.07,Single Family,2237.0,Yes,No,,,No,,,,No,none,No,No,No
New Westminster,BC,49.1809554,-122.9530943,1388000.0,3.0,3.0,0.08,Single Family,2349.0,Yes,No,,,No,forced air,,,No,none,No,No,No
Port Moody,BC,49.288781,-122.871046,799000.0,3.0,2.0,0.0,Condo,1293.0,Yes,Yes,,,No,,,,No,none,No,No,No
Surrey,BC,49.2010175,-122.8411811,2600000.0,4.0,3.0,0.2,Single Family,2656.0,No,No,,,No,forced air,,,No,none,No,No,No
Surrey,BC,49.191764,-122.8417626,699000.0,2.0,1.0,0.0,Condo,728.0,Yes,Yes,,,No,heat pump,,,No,none,No,No,No
Vancouver,BC,49.2903969,-123.1266059,2080000.0,2.0,3.0,0.0,Condo/Townhome,1424.0,Yes,Yes,,,Yes,,,,No,none,No,No,No
Surrey,BC,49.1924296,-122.850531,769888.0,2.0,2.0,0.0,Condo,879.0,Yes,Yes,,,No,heat pump,,,No,none,No,No,No
North Vancouver,BC,49.3105553,-123.079415,698800.0,1.0,1.0,0.0,Condo,584.0,No,No,,,No,forced air,,,No,none,No,No,No
Vancouver,BC,49.2293849,-123.1411075,14880000.0,9.0,11.0,0.3,Single Family,8730.0,Yes,Yes,,,Yes,radiant,,,No,none,No,No,No
Vancouver,BC,49.2913616,-123.1286793,1999999.0,2.0,2.0,0.0,Condo,1429.0,Yes,Yes,,,Yes,radiant,,,No,none,No,No,No
Vancouver,BC,49.2749484,-123.1140814,1488000.0,2.0,2.0,0.0,Condo,1039.0,Yes,Yes,,,No,forced air,,,No,none,No,No,No
Vancouver,BC,49.2234639,-123.1178132,750000.0,1.0,1.0,0.0,Townhome,570.0,Yes,Yes,,,No,forced air,,,No,none,No,No,No
Vancouver,BC,49.2826163,-123.1079584,988800.0,2.0,2.0,0.0,Condo,992.0,Yes,Yes,,,No,boiler,,,No,none,No,No,No
Coquitlam,BC,49.2642156,-122.8784041,2600000.0,1.0,3.0,0.18,Single Family,2423.0,Yes,No,,,Yes,forced air,,,No,none,No,No,No
Vancouver,BC,49.2202504,-123.1427885,1699900.0,3.0,2.0,0.0,Condo,1248.0,Yes,Yes,,,No,heat pump,,,No,none,No,No,No
Burnaby,BC,49.221649,-122.985201,3699000.0,4.0,2.0,0.14,Single Family,2100.0,No,Yes,,,Yes,,,,No,none,No,No,No
Vancouver,BC,49.2889678,-123.1407758,399900.0,1.0,1.0,0.0,Condo,585.0,Yes,Yes,,,No,boiler,,,No,none,No,No,No
Burnaby,BC,49.2812833,-123.0042914,799000.0,2.0,2.0,0.0,Condo,771.0,Yes,Yes,,,No,forced air,,,No,none,No,No,No
Burnaby,BC,49.2231602,-122.9929446,799000.0,1.0,1.0,0.0,Condo,624.0,Yes,No,,,No,heat pump,,,No,none,No,No,No
Vancouver,BC,49.2837052,-123.1190324,2799000.0,2.0,2.0,0.0,Condo,1915.0,Yes,No,,,Yes,heat pump,,,No,none,No,No,No
Surrey,BC,49.203157,-122.8650294,3450000.0,2.0,2.0,0.38,Single Family,1733.0,Yes,Yes,,,Yes,forced air,,,No,none,No,No,No
Coquitlam,BC,49.260656,-122.879446,1299000.0,3.0,3.0,0.0,Townhome,1348.0,Yes,Yes,,,No,,,,No,none,No,No,No
Surrey,BC,49.206994,-122.8098954,1499000.0,5.0,3.0,0.18,Single Family,2742.0,No,No,,,No,other,,,No,none,No,No,No
Burnaby,BC,49.250438,-122.899744,619000.0,2.0,2.0,0.0,Condo,1155.0,Yes,Yes,,,No,boiler,,,No,none,No,No,No
Surrey,BC,49.1941618,-122.8172931,3249000.0,6.0,4.0,0.26,Single Family,2849.0,No,Yes,,,No,forced air,,,No,none,No,No,No
Burnaby,BC,49.2156314,-122.9343373,1499999.0,5.0,2.0,0.09,Duplex,2104.0,Yes,Yes,,,Yes,forced air,,,No,none,No,No,No
Coquitlam,BC,49.266915,-122.8886685,646000.0,1.0,1.0,0.0,Condo,568.0,Yes,Yes,,,No,radiant,,,No,none,No,No,No
Richmond,BC,49.1827953,-122.9573724,1069900.0,3.0,3.0,0.0,Condo/Townhome,1286.0,Yes,Yes,,,No,forced air,,,No,none,No,No,No
Burnaby,BC,49.2249375,-123.0070119,599000.0,1.0,1.0,0.0,Condo,464.0,Yes,No,,,No,,,,No,none,No,No,No
Richmond,BC,49.175617,-123.1489097,849900.0,1.0,1.0,0.0,Condo,604.0,Yes,Yes,,,No,heat pump,,,No,none,No,No,No
Burnaby,BC,49.2287559,-123.0014456,1049000.0,2.0,2.0,0.0,Condo,1003.0,Yes,Yes,,,No,radiant,,,No,none,No,No,No
Vancouver,BC,49.2401905,-123.1172699,1666000.0,3.0,2.0,0.0,Condo,1367.0,Yes,Yes,,,No,heat pump,,,No,none,No,No,No
Surrey,BC,49.192983,-122.8499985,798000.0,2.0,2.0,0.0,Condo,861.0,Yes,Yes,,,No,heat pump,,,No,none,No,No,No
Vancouver,BC,49.2875826,-123.1308261,3980000.0,7.0,7.0,0.0,Single Family,4075.0,Yes,Yes,,,No,,,,No,none,No,No,No
Vancouver,BC,49.288694,-123.1251258,1768000.0,2.0,2.0,0.0,Condo,1349.0,Yes,Yes,,,No,alt heat,,,No,none,No,No,No
Richmond,BC,49.1827953,-122.9573724,1189900.0,3.0,3.0,0.0,Townhome,1292.0,Yes,Yes,,,No,forced air,,,No,none,No,No,No
Vancouver,BC,49.2140079,-123.0766403,1849000.0,4.0,4.0,0.0,Duplex,1777.0,Yes,Yes,,,No,,,,No,none,No,No,No
Vancouver,BC,49.2357428,-123.029469,599000.0,1.0,1.0,0.0,Condo,678.0,Yes,No,,,No,radiant,,,No,none,No,No,No
Vancouver,BC,49.2361797,-123.0375909,4000000.0,3.0,2.0,0.07,Single Family,1566.0,Yes,Yes,,,Yes,,,,No,none,No,No,No
Vancouver,BC,49.2362517,-123.0375072,4000000.0,4.0,3.0,0.07,Single Family,1851.0,No,No,,,No,,,,No,none,No,No,No
Surrey,BC,49.192983,-122.8499985,810000.0,2.0,2.0,0.0,Condo,797.0,Yes,No,,,No,heat pump,,,No,none,No,No,No
Burnaby,BC,49.223193,-122.950781,1999990.0,7.0,3.0,0.13,Single Family,2392.0,Yes,No,,,No,forced air,,,No,none,No,No,No
Vancouver,BC,49.2548684,-123.1400354,8890000.0,5.0,6.0,0.0,Single Family,6422.0,Yes,No,,,Yes,radiant,,,No,none,No,No,No
Vancouver,BC,49.2775161,-123.116534,2438000.0,3.0,3.0,0.0,Condo,1434.0,Yes,Yes,,,No,alt heat,,,No,none,No,No,No
Surrey,BC,49.1928875,-122.8505421,1049999.0,3.0,3.0,0.0,Townhome,1858.0,Yes,Yes,,,No,boiler,,,No,none,No,No,No
Surrey,BC,49.171505,-122.888337,587999.0,2.0,2.0,0.0,Condo,982.0,Yes,Yes,,,Yes,radiant,,,No,none,No,No,No
Surrey,BC,49.194096,-122.8175386,3249000.0,11.0,10.0,0.29,MultiFamily,6400.0,No,Yes,,,No,forced air,,,No,none,No,No,No
Vancouver,BC,49.2365961,-123.1434634,11500000.0,4.0,5.0,0.57,Single Family,5380.0,Yes,No,,,Yes,,,,No,none,No,No,No
Vancouver,BC,49.2796324,-123.0700048,500000.0,1.0,1.0,0.0,Condo,625.0,Yes,No,,,Yes,radiant,,,No,none,No,No,No
Vancouver,BC,49.2888841,-123.11914,8180000.0,2.0,3.0,0.0,Condo,2518.0,Yes,Yes,,,Yes,,,,No,none,No,No,No
Richmond,BC,49.1778136,-122.9672758,488800.0,1.0,1.0,0.0,Condo,684.0,Yes,Yes,,,No,forced air,,,No,none,No,No,No
Vancouver,BC,49.2783152,-123.1284659,1279900.0,2.0,2.0,0.0,Condo,836.0,Yes,Yes,,,No,alt heat,,,No,none,No,No,No
Vancouver,BC,49.2335114,-123.1076278,3000000.0,3.0,2.0,0.09,Single Family,1755.0,Yes,No,,,No,radiant,,,No,none,No,No,No
Vancouver,BC,49.2894005,-123.1308302,1339000.0,2.0,2.0,0.0,Condo,1347.0,Yes,Yes,,,No,radiant,,,No,none,No,No,No
Vancouver,BC,49.2788252,-123.1077788,1088890.0,2.0,2.0,0.0,Condo,938.0,Yes,Yes,,,Yes,radiant,,,No,none,No,No,No
Surrey,BC,49.1822936,-122.8397889,4000000.0,4.0,2.0,0.0,Duplex,1813.0,Yes,Yes,,,No,forced air,,,No,none,No,No,No
Surrey,BC,49.1823334,-122.8397859,4000000.0,4.0,2.0,0.0,Duplex,1813.0,Yes,Yes,,,No,forced air,,,No,none,No,No,No
Surrey,BC,49.1825718,-122.8397679,4000000.0,3.0,2.0,0.0,Duplex,1813.0,Yes,Yes,,,No,forced air,,,No,none,No,No,No
Surrey,BC,49.1826115,-122.8397649,4000000.0,4.0,1.0,0.0,Duplex,1813.0,Yes,Yes,,,No,forced air,,,No,none,No,No,No
Surrey,BC,49.1828102,-122.8397499,4000000.0,4.0,1.0,0.0,Duplex,1813.0,Yes,Yes,,,No,forced air,,,No,none,No,No,No
Surrey,BC,49.1831581,-122.8402163,6450000.0,6.0,2.0,0.19,Single Family,2700.0,Yes,Yes,,,No,forced air,,,No,none,No,No,No
Surrey,BC,49.2010176,-122.8376694,2999999.0,6.0,7.0,0.17,Single Family,7258.0,No,No,,,Yes,radiant,,,No,none,No,No,No
Richmond,BC,49.1757295,-123.1474581,4498000.0,4.0,5.0,0.0,Condo,2486.0,Yes,Yes,,,No,heat pump,,,No,none,No,No,No
Richmond,BC,49.1713919,-123.1377629,929800.0,2.0,2.0,0.0,Condo,940.0,Yes,No,,,No,radiant,,,No,none,No,No,No
Vancouver,BC,49.2363282,-123.037429,4000000.0,4.0,2.0,0.07,Single Family,1633.0,No,No,,,No,boiler,,,No,none,No,No,No
Vancouver,BC,49.2385963,-123.0310474,549000.0,1.0,1.0,0.0,Condo,440.0,Yes,Yes,,,No,heat pump,,,No,none,No,No,No
Vancouver,BC,49.2337176,-123.1409689,8890000.0,6.0,8.0,0.3,Single Family,5714.0,Yes,No,,,Yes,radiant,,,No,none,No,No,No
Coquitlam,BC,49.2638319,-122.8776199,2500000.0,5.0,2.0,0.18,Single Family,2341.0,Yes,Yes,,,No,forced air,,,No,none,No,No,No
Coquitlam,BC,49.2643946,-122.888761,2880000.0,3.0,1.0,0.18,Single Family,2430.0,Yes,Yes,,,No,forced air,,,No,none,No,No,No
Surrey,BC,49.2008734,-122.8378789,2500000.0,3.0,2.0,0.17,Single Family,2140.0,No,No,,,Yes,forced air,,,No,none,No,No,No
Vancouver,BC,49.2527973,-123.1308592,7880000.0,4.0,4.0,0.45,Single Family,4220.0,Yes,No,,,Yes,forced air,,,No,none,No,No,No
Surrey,BC,49.2013036,-122.8380885,2500000.0,4.0,3.0,0.18,Single Family,2567.0,No,No,,,Yes,forced air,,,No,none,No,No,No
Surrey,BC,49.2011992,-122.8379357,2399999.0,2.0,1.0,0.18,Single Family,1000.0,No,Yes,,,Yes,forced air,,,No,none,No,No,No
Vancouver,BC,49.2696596,-123.1099025,2190000.0,2.0,2.0,0.0,Condo,972.0,Yes,Yes,,,No,heat pump,,,No,none,No,No,No
Vancouver,BC,49.2559227,-123.1324218,11800000.0,8.0,5.0,0.57,Single Family,3810.0,Yes,Yes,,,No,forced air,,,No,none,No,No,No
Vancouver,BC,49.2791605,-123.1070402,899000.0,2.0,2.0,0.0,Condo,869.0,Yes,Yes,,,No,radiant,,,No,none,No,No,No
Vancouver,BC,49.2138518,-123.0766853,1849000.0,4.0,4.0,0.0,Duplex,1777.0,No,No,,,No,,,,No,none,No,No,No
Vancouver,BC,49.2715732,-123.0446646,3000000.0,5.0,3.0,0.09,Single Family,2500.0,No,Yes,,,No,forced air,,,No,none,No,No,No
Burnaby,BC,49.2634236,-122.9977824,699000.0,1.0,1.0,0.0,Condo,626.0,Yes,No,,,No,heat pump,,,No,none,No,No,No
New Westminster,BC,49.199778,-122.953514,2200000.0,3.0,3.0,0.12,Single Family,1533.0,No,No,,,Yes,,,,No,none,No,No,No
Vancouver,BC,49.2331069,-123.1137068,1298000.0,2.0,2.0,0.0,Condo,899.0,Yes,No,,,No,heat pump,,,No,none,No,No,No
Vancouver,BC,49.2586629,-123.1405221,12875000.0,3.0,6.0,0.0,Condo,4175.0,Yes,No,,,Yes,boiler,,,No,none,No,No,No
Richmond,BC,49.1757824,-123.1471776,1368000.0,2.0,2.0,0.0,Condo,1039.0,Yes,Yes,,,No,heat pump,,,No,none,No,No,No
Burnaby,BC,49.2633098,-122.9864015,939800.0,2.0,2.0,0.0,Condo,876.0,Yes,Yes,,,No,heat pump,,,No,none,No,No,No
New Westminster,BC,49.1997071,-122.9537315,2000000.0,4.0,4.0,0.08,Single Family,2152.0,Yes,No,,,Yes,forced air,,,No,none,No,No,No
Vancouver,BC,49.256818,-123.0342509,2700000.0,5.0,2.0,0.09,Single Family,1261.0,Yes,No,Finished,,No,,,,No,none,No,No,No
Vancouver,BC,49.2696596,-123.1099025,1788000.0,2.0,2.0,0.0,Condo,970.0,Yes,Yes,,,No,heat pump,,,No,none,No,No,No
Vancouver,BC,49.2714806,-123.0446632,3000000.0,9.0,5.0,0.09,Single Family,2225.0,No,No,,,No,forced air,,,No,none,No,No,No
Vancouver,BC,49.2630954,-123.0743778,1392000.0,5.0,3.0,0.09,Duplex,1174.0,Yes,No,,,No,boiler,,,No,none,No,No,No
Coquitlam,BC,49.248009,-122.8901911,988000.0,2.0,2.0,0.0,Condo,945.0,Yes,Yes,,,No,forced air,,,No,none,No,No,No
Vancouver,BC,49.2775161,-123.116534,1499000.0,2.0,2.0,0.0,Condo,1042.0,Yes,Yes,,,No,radiant,,,No,none,No,No,No
Burnaby,BC,49.2775465,-122.9100341,695000.0,2.0,2.0,0.0,Condo,943.0,Yes,Yes,,,No,radiant,,,No,none,No,No,No
Vancouver,BC,49.2250899,-123.1288183,3380000.0,7.0,5.0,0.15,Single Family,3760.0,Yes,No,,,Yes,boiler,,,No,none,No,No,No
Port Moody,BC,49.2962892,-122.8321351,2138000.0,6.0,6.0,0.18,Single Family,5126.0,Yes,No,,,Yes,boiler,,,No,none,No,No,No
Vancouver,BC,49.2352626,-123.1110637,5000000.0,5.0,4.0,0.13,Single Family,3040.0,Yes,No,,,Yes,forced air,,,No,none,No,No,No
Vancouver,BC,49.2364236,-123.0372874,5500000.0,5.0,2.0,0.12,Single Family,1814.0,No,No,,,No,,,,No,none,No,No,No
Vancouver,BC,49.277056,-123.128843,749900.0,2.0,1.0,0.0,Condo,619.0,Yes,Yes,,,No,,,,No,none,No,No,No
Vancouver,BC,49.2485948,-123.1484802,5180000.0,3.0,2.0,0.21,Single Family,4069.0,Yes,No,,,No,,,,No,none,No,No,No
Burnaby,BC,49.2231602,-122.9929446,1290000.0,2.0,2.0,0.0,Condo,1017.0,Yes,Yes,,,No,heat pump,,,No,none,No,No,No
Vancouver,BC,49.2313547,-123.1483257,12700000.0,6.0,7.0,0.24,Single Family,5150.0,Yes,Yes,Finished,,Yes,heat pump,,,No,none,No,No,No
Vancouver,BC,49.2322865,-123.1410093,11880000.0,7.0,8.0,0.3,Single Family,6175.0,Yes,No,Finished,,Yes,radiant,,,No,none,No,No,No
Vancouver,BC,49.2334779,-123.03619,500000.0,1.0,1.0,0.0,Condo,448.0,Yes,Yes,,,No,radiant,,,No,none,No,No,No
Surrey,BC,49.1840276,-122.8414624,515000.0,1.0,1.0,0.0,Condo,515.0,Yes,Yes,,,No,radiant,,,No,none,No,No,No
Vancouver,BC,49.2334779,-123.03619,449000.0,1.0,1.0,0.0,Condo,448.0,No,No,,,No,,,,No,none,No,No,No
